cantonese,jyutpinyin,translation-en,audio
聽見話學中文嘅外國人多數都學國語。係唔係真㗎？,teng1 gin3 waa6 hok6 zung1 man4 ge3 ngoi6 gwok3 jan4 do1 sou3 dou1 hok6 gwok3 jyu5 hai6 m4 hai6 zan1 gaa3,I heard that most foreigners learning Chinese are (actually) studying Mandarin. Is that true?,,
你食完晚飯通常做乜嘢？,nei5 sik6 jyun4 maan5 faan6 tung1 soeng4 zou6 mat1 je5,What do you usually do after dinner?,,
你最鍾意邊個歌手呀？,nei5 zeoi3 zung1 ji3 bin1 go3 go1 sau2 aa3,Which singer do you like the most?,,
你聖誕節過得開唔開心呀？,nei5 sing3 daan3 zit3 gwo3 dak1 hoi1 m4 hoi1 sam1 aa3,Did you have a good time during (last) Christmas?,,
你哋屋企聖誕節通常會食咩做晚餐㗎？,nei5 dei6 uk1 kei2 sing3 daan3 zit3 tung1 soeng4 wui5 sik6 me1 zou6 maan5 caan1 gaa3,What does your family usually have for dinner on Christmas?,,
你舊年聖誕節做咗啲咩呀？,nei5 gau6 nin4 sing3 daan3 zit3 zou6 zo2 di1 me1 aa3,What did you do last Christmas?,,
你而家用緊邊部手機㗎？,nei5 ji4 gaa1 jung6 gan2 bin1 bou6 sau2 gei1 gaa3,Which phone are you using right now?,,
你點解要學外語呀？,nei5 dim2 gaai2 jiu3 hok6 ngoi6 jyu5 aa3,Why do you want to learn a foreign language?,,
你今個禮拜返咗幾多個鐘呀？,nei5 gam1 go3 lai5 baai3 faan1 zo2 gei2 do1 go3 zung1 aa3,How many hours did you work this week?,,
美國嘅首都係華盛頓定係紐約呀？,mei5 gwok3 ge3 sau2 dou1 hai6 waa4 sing6 deon6 ding6 hai6 nau2 joek3 aa3,Is the capital of the United States Washington or New York?,,
你鍾意聽音樂多啲吖，定係唱歌多啲呀？,nei5 zung1 ji3 teng1 jam1 ngok6 do1 di1 aa1 ding6 hai6 coeng3 go1 do1 di1 aa3,Do you prefer listening to music or singing?,,
你諗住去邊度過你個暑假呀？,nei5 nam2 zyu6 heoi3 bin1 dou6 gwo3 nei5 go3 syu2 gaa3 aa3,Where are you planning to spend your summer vacation?,,
你有冇養寵物㗎？,nei5 jau5 mou5 joeng5 cung2 mat6 gaa3,Do you have any pets?,,
你通常幾點鐘起身㗎？,nei5 tung1 soeng4 gei2 dim2 zung1 hei2 san1 gaa3,What time do you usually wake up?,,
你有冇喺學校到讀中文？,nei5 jau5 mou5 hai2 hok6 haau6 dou6 duk6 zung1 man4,Are you studying Chinese at school?,,
呢個世界有冇外星人㗎？,ni1 go3 sai3 gaai3 jau5 mou5 ngoi6 sing1 jan4 gaa3,Are there aliens in this world?,,
你信唔信奇跡㗎？,nei5 seon3 m4 seon3 kei4 zik1 gaa3,Do you believe in miracles?,,
你點樣減壓？,nei5 dim2 joeng6 gaam2 aat3,How do you relieve stress?,,
呢個世界係咪電腦模擬出嚟嘅呢？,ni1 go3 sai3 gaai3 hai6 mai6 din6 nou5 mou4 ji5 ceot1 lai4 ge3 ne1,Is this world a computer simulation?,,
如果而家停電，會發生啲咩事呢？,jyu4 gwo2 ji4 gaa1 ting4 din6 wui5 faat3 saang1 di1 me1 si6 ne1,What would happen if there was a power outage right now?,,
講大話可唔可以係合符道德嘅呢？,gong2 daai6 waa6 ho2 m4 ho2 ji5 hai6 hap6 fu4 dou6 dak1 ge3 ne1,Is lying ever morally acceptable?,,
可唔可以介紹幾味齋菜呀？,ho2 m4 ho2 ji5 gaai3 siu6 gei2 mei6 zaai1 coi3 aa3,Could you recommend some vegetarian dishes?,,
你上次捐錢係幾時？,nei5 soeng6 ci3 gyun1 cin2 hai6 gei2 si4,When was the last time you donated money?,,
你聖誕假諗住去邊玩呀？你成世人收過最正嘅聖誕禮物係咩呀？你想聖誕老人送咩禮物俾你呀？,nei5 sing3 daan3 gaa3 nam2 zyu6 heoi3 bin1 waan2 aa3 nei5 seng4 sai3 jan4 sau1 gwo3 zeoi3 zing3 ge3 sing3 daan3 lai5 mat6 hai6 me1 aa3 nei5 soeng2 sing3 daan3 lou5 jan4 sung3 me1 lai5 mat6 bei2 nei5 aa3,Where are you planning to go during the Christmas holidays? What's the best Christmas gift you've ever received? What gift do you want from Santa this year?,,
你覺得你喺倫敦每日淨係用五英鎊生唔生活到？,nei5 gok3 dak1 nei5 hai2 leon4 deon1 mui5 jat6 zing6 hai6 jung6 ng5 jing1 bong6 sang1 m4 sang1 wut6 dou2,Do you think you could live in London on just £5 a day?,,
你覺得可以做啲咩嚟減低倫敦嘅空氣污染呢？,nei5 gok3 dak1 ho2 ji5 zou6 di1 me1 lai4 gaam2 dai1 leon4 deon1 ge3 hung1 hei3 wu1 jim6 ne1,What do you think can be done to reduce air pollution in London?,,
發展經濟重要啲吖，定係保護環境重要啲？,faat3 zin2 ging1 zai3 zung6 jiu3 di1 aa1 ding6 hai6 bou2 wu6 waan4 ging2 zung6 jiu3 di1,What's more important  economic development or environmental protection?,,
